C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
106 	* alf CMa                	** 	101.28715533 -16.71611586  	-1.51 	-1.46 	-1.46 	-1.46 	-1.43 	A1V+DA                
107 	* eta Aur                	V* 	076.62872239 +41.23447576  	 2.33 	 3.00 	 3.18 	 3.23 	 3.40 	B3V                   
108 	BD+46 2169A              	*  	244.935158 +46.313369      	     ~	 3.735	 3.876	     ~	     ~	~                     
109 	* eps Crv                	V* 	182.53116909 -22.61976722  	 5.79 	 4.32 	 2.98 	 2.05 	 1.41 	K2III                 
110 	* omi Per A              	*  	056.079721 +32.288242      	     ~	 3.91 	 3.91 	     ~	     ~	~                     
111 	* zet Aqr B              	*  	337.207329 -00.020544      	     ~	 4.89 	 4.49 	     ~	     ~	F2IV/V                
112 	* ksi02 Cet              	*  	037.03976108 +08.46005575  	 4.14 	 4.25 	 4.30 	 4.29 	 4.34 	B9III                 
113 	* 37 Com                 	RS*	195.06862589 +30.78501976  	     ~	 6.02 	 4.88 	 4.9  	     ~	G8Ib-II               
114 	* zet Cnc                	** 	123.05296 +17.64814        	     ~	 5.20 	 4.67 	 4.9  	 4.7  	F8V+G0V               
115 	V* ET UMa                	a2*	156.03269192 +65.56642332  	     ~	 4.903	 4.935	     ~	     ~	A0sp...               
116 	* del02 Tau              	*  	066.02399939 +17.44412732  	 5.07 	 4.95 	 4.80 	 4.64 	 4.57 	A2Vs                  
117 	* lam Sco                	bC*	263.40216718 -37.10382355  	 0.52 	 1.48 	 1.62 	     ~	     ~	B2IV+DA7.9            
118 	* gam And                	** 	030.97480121 +42.32972842  	     ~	 3.30 	 2.10 	     ~	     ~	K3II+B9.5V+A0V        
119 	* eps UMa                	a2*	193.50728997 +55.95982296  	 1.76 	 1.75 	 1.77 	 1.79 	 1.82 	A1III-IVpkB9          
120 	* kap Sco                	bC*	265.62198000 -39.02998308  	 1.32 	 2.208	 2.375	     ~	     ~	B1.5III               
121 	* ups Aur                	V* 	087.76015518 +37.30557126  	 8.29 	 6.36 	 4.74 	 3.38 	 2.31 	M0III                 
122 	* bet Tau                	PM*	081.57297133 +28.60745172  	 1.03 	 1.52 	 1.65 	 1.66 	 1.76 	B7III                 
123 	* tau Aur                	PM*	087.29349273 +39.18107297  	 6.160	 5.450	 4.500	 3.80 	 3.31 	G8III                 
124 	* omi02 Eri              	Fl*	063.81799845 -07.65287232  	 5.69 	 5.25 	 4.43 	 3.74 	 3.29 	K0.5V                 
125 	* nu. Cet                	*  	038.96863913 +05.59324718  	     ~	 5.739	 4.880	     ~	     ~	G8III                 
126 	SN 2009jb                	SN*	260.92379 +30.49739        	     ~	 1.05 	 1.07 	18.5  	     ~	SN.Ia                 
127 	* 2 Peg                  	*  	322.48706438 +23.63883806  	     ~	 6.145	 4.536	     ~	     ~	M1III                 
128 	* nu. Oph                	*  	269.75663297 -09.77363329  	 5.20 	 4.33 	 3.34 	 2.64 	 2.16 	K1III                 
129 	* omi Sgr                	*  	286.17075738 -21.74149570  	 5.63 	 4.77 	 3.77 	 3.05 	 2.52 	K0III                 
130 	* bet Sge                	*  	295.26224613 +17.47604244  	 6.33 	 5.43 	 4.38 	 3.66 	 3.16 	G8IIIa                
131 	* 14 Com                 	*iC	186.60026849 +27.26823762  	 5.40 	 5.22 	 4.95 	 4.70 	 4.55 	F0p                   
132 	HD 20468                 	*  	049.68260764 +34.22265204  	 7.86 	 6.31 	 4.82 	 3.75 	 2.99 	K2IIb_CN0.5           
133 	* 40 Leo                 	dS*	154.93402865 +19.47091509  	     ~	 5.24 	 4.80 	 4.5  	 4.3  	F6IV-V                
134 	* 3 Cen A                	*  	207.956571 -32.994069      	     ~	 4.377	 4.520	     ~	     ~	~                     
135 	* del Del                	dS*	310.86472243 +15.07457702  	     ~	 4.707	 4.434	     ~	     ~	kA7hF0mF0(IV-V)       
136 	* 7 And                  	*  	348.13751583 +49.40620708  	 4.85 	 4.81 	 4.52 	 4.23 	 4.07 	F1V                   
137 	* pi. Pup Aa             	*  	109.285650 -37.097472      	     ~	 4.97 	 2.89 	     ~	     ~	K3Ib                  
138 	* ups Leo                	*  	174.237212 -00.823747      	 6.05 	 5.31 	 4.30 	 3.58 	 3.06 	K0III                 
139 	* chi Aur                	SB*	083.18197132 +32.19202092  	 4.68 	 5.15 	 4.79 	 4.42 	 4.15 	B4Ib                  
140 	* kap Pyx                	*  	137.01200186 -25.85853619  	 8.04 	 6.17 	 4.56 	 3.32 	 2.42 	K4/5III               
141 	* q Pup                  	*  	124.63880414 -36.65928864  	 4.75 	 4.68 	 4.40 	 4.24 	 4.11 	A8V                   
142 	* del Vir                	RG*	193.90086919 +03.39747034  	 6.76 	 4.97 	 3.38 	 1.86 	 0.53 	M2III                 
143 	* alf Tau                	LP?	068.98016279 +16.50930235  	 4.32 	 2.40 	 0.86 	-0.37 	-1.31 	K5III                 
144 	* tau Sgr                	PM*	286.73503735 -27.67042191  	 5.65 	 4.51 	 3.31 	 2.44 	 1.85 	K1III                 
145 	* bet Pyx                	*  	130.02559846 -35.30835143  	     ~	 4.881	 3.972	     ~	     ~	G5II/III              
146 	* lam Lyr                	V* 	285.00344031 +32.14551465  	     ~	 6.436	 4.951	     ~	     ~	K2.5III               
147 	* zet Cyg                	SB*	318.23410806 +30.22691546  	 4.96 	 4.20 	 3.21 	 2.52 	 2.04 	G8IIIp+DA4.2          
148 	* mu. Aql                	V* 	293.52230639 +07.37893877  	 6.87 	 5.63 	 4.45 	 3.55 	 2.94 	K3IIIb                
149 	* zet Tau                	Be*	084.41118926 +21.14254411  	 2.22 	 2.84 	 3.03 	 3.06 	 3.15 	B1IVe_shell           
150 	* r Pup                  	Be*	123.37298832 -35.89951839  	 3.68 	 4.66 	 4.77 	 4.68 	 4.77 	B2ne                  
151 	* 89 Vir                 	*  	207.46784715 -18.13416794  	     ~	 6.019	 4.970	     ~	     ~	K0III                 
152 	V* FH Ser                	No*	277.69600 +02.61444        	     ~	13.000	 4.39 	16.000	     ~	~                     
153 	* gam01 Ari              	*  	028.382383 +19.296186      	     ~	 4.56 	 4.70 	     ~	     ~	B9.5IV                
154 	* bet Col                	PM*	087.73996750 -35.76830978  	 5.49 	 4.28 	 3.12 	 2.27 	 1.69 	K1III_CN+1            
155 	* bet Dra                	*  	262.60817373 +52.30138871  	 4.43 	 3.79 	 2.81 	 2.12 	 1.64 	G2Ib-IIa              
156 	* alf CrB                	Al*	233.67195002 +26.71469278  	 2.19 	 2.22 	 2.24 	 2.21 	 2.25 	A1IV                  
157 	* alf Crv                	PM*	182.10340218 -24.72887510  	     ~	 4.34 	 4.00 	     ~	     ~	F1V                   
158 	* 42 Her                 	V* 	249.68685863 +48.92834266  	 8.21 	 6.45 	 4.90 	     ~	     ~	M2.5III               
159 	* chi Cyg                	S* 	297.64135163 +32.91405824  	 7.02 	 6.06 	 4.24 	 1.81 	-0.01 	S6-9/1-2e             
160 	* eps PsA                	Be*	340.16391980 -27.04361546  	 3.69 	 4.086	 4.180	     ~	     ~	B8Ve                  
161 	* 24 Per                 	*  	044.76531980 +35.18313038  	 7.460	 6.170	 4.930	     ~	     ~	K2III                 
162 	* tau Leo                	*  	171.98433231 +02.85626691  	     ~	 5.945	 4.950	     ~	     ~	G8-IIIa               
163 	* 37 Tau                 	*  	061.17381184 +22.08192341  	 6.41 	 5.44 	 4.37 	 3.58 	 3.05 	K0III                 
164 	* 15 CMa                 	bC*	103.38711328 -20.22425492  	 3.66 	 4.62 	 4.83 	 4.95 	 5.17 	B1Ib                  
165 	* gam Cet                	** 	040.82516290 +03.23581638  	 3.63 	 3.56 	 3.47 	 3.36 	 3.32 	A2Vn+F4V              
166 	* gam Lep                	PM*	086.11579539 -22.44838356  	 4.08 	 4.07 	 3.60 	 3.15 	 2.89 	F6V                   
167 	* eps CMi                	*  	111.41206721 +09.27609836  	     ~	 5.999	 4.998	     ~	     ~	G6.5IIb               
168 	* del UMi                	** 	263.05415296 +86.58646066  	     ~	 4.382	 4.348	     ~	     ~	A1Van                 
169 	HR 3751                  	SB*	144.27203241 +81.32638087  	     ~	 5.790	 4.272	     ~	     ~	K3III+DA2.8           
170 	HR 1034                  	SB*	052.01279280 +49.06286628  	     ~	 4.89 	 4.97 	     ~	     ~	B5V                   
171 	* rho Ser                	V* 	237.81629103 +20.97792128  	 8.20 	 6.32 	 4.78 	 3.56 	 2.71 	K5III                 
172 	* b02 Cyg                	Be*	302.35674659 +36.83962215  	 4.03 	 4.80 	 4.93 	     ~	     ~	B2.5Ve                
173 	* tau And                	V* 	025.14506855 +40.57704840  	 4.44 	 4.85 	 4.94 	 4.95 	 5.02 	B5III                 
174 	* 56 Peg                 	SB*	346.77807952 +25.46825914  	 7.20 	 6.06 	 4.74 	 3.74 	 3.07 	K1IV(e)+DA1           
175 	* del For                	*  	055.56209365 -31.93836263  	 4.24 	 4.825	 4.970	     ~	     ~	B5III                 
176 	* nu. Per                	RR*	056.29846681 +42.57855080  	 4.50 	 4.22 	 3.80 	 3.40 	 3.13 	F4II                  
177 	TYC 6744-1753-1          	** 	217.043488 -29.491658      	 4.49 	 4.892	 4.972	     ~	     ~	B8V                   
178 	* psi Cas                	** 	021.48342658 +68.13001277  	     ~	 5.782	 4.731	     ~	     ~	K0III                 
179 	* mu. Gem                	LP*	095.74011193 +22.51358275  	 6.37 	 4.51 	 2.87 	 1.30 	-0.08 	M3IIIab               
180 	* alf CMa A              	SB*	101.287154 -16.716117      	     ~	     ~	-1.09 	     ~	     ~	A1V                   
181 	* nu. Cep                	Pu*	326.36218658 +61.12080553  	 4.94 	 4.81 	 4.29 	 3.79 	 3.35 	A2Iab:                
182 	* ome Per                	*  	047.82242337 +39.61158372  	     ~	 5.736	 4.614	     ~	     ~	K0III                 
183 	* bet Cep                	bC*	322.16498688 +70.56071519  	 2.05 	 3.01 	 3.23 	 3.33 	 3.55 	B0.5IIIs              
184 	* 32 Eri A               	*  	058.572787 -02.954039      	     ~	 5.73 	 4.79 	 4.7  	     ~	G8III                 
185 	* H Sco                  	V* 	249.09363300 -35.25532785  	     ~	 5.776	 4.184	     ~	     ~	K5III                 
186 	* mu. Leo                	PM*	148.19090227 +26.00695330  	 6.50 	 5.10 	 3.88 	 2.97 	 2.39 	K2IIIb_CN1_Ca1        
187 	* 31 Peg                 	Be*	335.37947961 +12.20518412  	 4.08 	 4.89 	 4.99 	 5.06 	 5.20 	B2IV-Ve               
188 	* i Aql                  	V* 	285.42011280 -05.73911485  	 6.15 	 5.11 	 4.02 	 3.23 	 2.69 	K1III                 
189 	* alf02 Lib              	SB*	222.71963789 -16.04177652  	 2.99 	 2.90 	 2.75 	 2.61 	 2.57 	kA2hA5mA4IV-V         
190 	* iot Boo                	dS*	214.04137480 +51.36722965  	 5.01 	 4.95 	 4.75 	 4.60 	 4.51 	A7V                   
191 	HR 2766                  	*iC	109.14580559 -27.88117852  	 8.12 	 6.24 	 4.64 	 3.16 	 1.91 	M2III                 
192 	* del Aqr                	*  	343.66255630 -15.82082729  	 3.41 	 3.33 	 3.28 	 3.21 	 3.17 	A3Vp                  
193 	* sig CMa                	LP*	105.42978244 -27.93483049  	 7.08 	 5.20 	 3.47 	 2.15 	 1.15 	K5Ib                  
194 	IDS 15505-3340 AB        	** 	239.2237 -33.9639          	     ~	 4.68 	 4.58 	     ~	     ~	~                     
195 	* gam Gru                	*  	328.48219248 -37.36485527  	 2.52 	 2.89 	 3.01 	 3.06 	 3.12 	B8III                 
196 	BD+05 939A               	*i*	082.69608 +05.94814        	     ~	 4.5  	 4.44 	     ~	     ~	B5IV                  
