C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
864 	* mu. Peg                	PM*	342.50080479 +24.60158288  	 5.10 	 4.42 	 3.48 	 2.80 	 2.33 	G8+III                
865 	* g Eri                  	*  	057.36352199 -36.20025113  	 5.80 	 5.12 	 4.17 	 3.46 	 2.96 	G8III                 
866 	* c Boo                  	V* 	226.82527528 +24.86919478  	 5.34 	 5.36 	 4.93 	 4.53 	 4.32 	F5V                   
867 	* 1 Gem                  	SB*	091.03006433 +23.26334447  	 5.54 	 5.02 	 4.15 	 3.47 	 3.02 	G5III                 
868 	* kap02 Boo              	dS*	213.37086406 +51.78996822  	     ~	 4.74 	 4.51 	     ~	     ~	A7IV                  
869 	* d Ori                  	SB*	084.72117901 -07.21282883  	 5.04 	 4.93 	 4.80 	 4.65 	 4.59 	A4Vn                  
870 	* pi. Aur                	LP*	089.98374698 +45.93673547  	 7.80 	 5.97 	 4.25 	 2.56 	 1.08 	M3IIb                 
871 	* k Sco                  	s*b	256.20563446 -34.12293007  	 4.44 	 5.13 	 4.87 	 4.59 	 4.42 	B2Iab                 
872 	* 47 Cyg                 	** 	308.47577926 +35.25085165  	     ~	 6.181	 4.663	     ~	     ~	K6:Ib+B2.5:           
873 	* del Ser                	** 	233.70061506 +10.53886800  	     ~	 4.05 	 3.79 	     ~	     ~	F0                    
874 	* gam Leo                	** 	154.99312733 +19.84148522  	     ~	 3.79 	 2.37 	     ~	     ~	K1-III+G7IIIb         
875 	* chi Gem                	SB*	120.87950938 +27.79434007  	     ~	 6.087	 4.944	     ~	     ~	K2III                 
876 	* b03 Cyg                	dS*	303.63347213 +36.80630336  	 5.10 	 5.11 	 4.99 	 4.79 	 4.72 	A2V                   
877 	* 1 Cas                  	*  	346.65340774 +59.41975992  	 3.93 	 4.780	 4.840	     ~	     ~	B0.5III               
878 	HD 20336                 	Be*	049.99696946 +65.65229172  	 3.93 	 4.70 	 4.85 	 4.88 	 5.01 	B2.5Vn(e)             
879 	* nu. Vir                	sr*	176.46483156 +06.52937258  	 7.32 	 5.54 	 4.04 	 2.79 	 1.78 	M1III                 
880 	* ksi Her                	sr*	269.44119046 +29.24787987  	 5.34 	 4.64 	 3.70 	 3.01 	 2.55 	G8III                 
881 	* tet Cet                	HB*	021.00585534 -08.18325590  	 5.57 	 4.65 	 3.59 	 2.83 	 2.26 	K0III                 
882 	M 6                      	OpC	265.0833 -32.2533          	     ~	 4.48 	 4.2  	     ~	     ~	~                     
883 	* alf Boo                	RG*	213.91530029 +19.18240916  	 2.46 	 1.18 	-0.05 	-1.03 	-1.68 	K0III                 
884 	* 26 Hya                 	** 	139.94325984 -11.97485110  	     ~	 5.699	 4.783	     ~	     ~	G8II                  
885 	* zet And                	RS*	011.83468946 +24.26717801  	 6.05 	 5.18 	 4.06 	 3.21 	 2.62 	K1III+KV              
886 	* omi Hya                	*  	175.05329043 -34.74465926  	 4.41 	 4.63 	 4.70 	 4.69 	 4.74 	B9V                   
887 	HR 2906                  	*  	113.51325350 -22.29606662  	 5.02 	 4.94 	 4.39 	     ~	     ~	F6IV-V                
888 	* zet Leo                	V* 	154.17256653 +23.41731168  	 3.89 	 3.72 	 3.41 	 3.09 	 2.91 	F0IIIa                
889 	* phi02 Lup              	*  	230.78895854 -36.85848668  	 3.77 	 4.39 	 4.54 	 4.60 	 4.74 	B4V                   
890 	* nu. Sco A              	** 	242.998917 -19.460647      	     ~	 4.359	 4.349	     ~	     ~	~                     
891 	* nu. Cas                	V* 	012.20842455 +50.96816716  	     ~	 4.812	 4.901	     ~	     ~	B9III                 
892 	* 9 Peg                  	V* 	326.12789922 +17.35001585  	 6.48 	 5.52 	 4.35 	 3.53 	 2.98 	G5Ib                  
893 	* eta Cet                	HB*	017.14746451 -10.18226582  	 5.80 	 4.61 	 3.45 	 2.61 	 2.03 	K1III                 
894 	* mu. Tau                	*  	063.88356946 +08.89235624  	 3.74 	 4.214	 4.280	     ~	     ~	B3IV                  
895 	* psi Eri                	*  	075.35977498 -07.17396283  	 3.87 	 4.62 	 4.81 	     ~	     ~	B3IV                  
896 	* del Eri                	RS*	055.81208699 -09.76339122  	 5.13 	 4.46 	 3.54 	 2.82 	 2.32 	K0+IV                 
897 	* phi Hya                	SB*	159.64563672 -16.87657401  	     ~	 5.812	 4.913	     ~	     ~	G8III                 
898 	* zet Del                	*  	308.82723181 +14.67421319  	     ~	 4.768	 4.664	     ~	     ~	A3V                   
899 	* h Dra                  	SB*	254.00703853 +65.13479531  	     ~	 5.37 	 4.89 	 4.6  	 4.4  	F8V                   
900 	* del Ari                	PM*	047.90735272 +19.72667769  	 6.26 	 5.40 	 4.37 	 3.60 	 3.09 	K2III                 
901 	* kap Per                	V* 	047.37404816 +44.85754065  	 5.62 	 4.79 	 3.81 	 3.07 	 2.57 	K0III                 
902 	* 25 CVn A               	*  	204.365388 +36.294842      	     ~	 5.165	 4.953	     ~	     ~	A7III                 
903 	* alf Crt                	PM*	164.94360359 -18.29878257  	 6.14 	 5.16 	 4.07 	 3.27 	 2.72 	K1III                 
904 	* ksi And                	*  	020.58508017 +45.52877787  	     ~	 5.953	 4.875	     ~	     ~	K0-IIIb               
905 	* b Sco                  	*  	237.74476884 -25.75129581  	 3.84 	 4.566	 4.638	     ~	     ~	B1.5Vn                
906 	2MASS J11143546-2112534  	HB*	168.64775 -21.21486        	     ~	15.800	 0.1  	15.800	     ~	~                     
907 	* 27 Tau                 	SB*	057.29059410 +24.05341675  	 3.18 	 3.54 	 3.63 	 3.62 	 3.68 	B8III                 
908 	* tau Ori                	*  	079.40161902 -06.84440839  	 3.01 	 3.47 	 3.59 	     ~	     ~	B5III                 
909 	V* V424 Lac              	LP*	344.10832574 +49.73354255  	 8.66 	 6.71 	 4.94 	 3.59 	 2.54 	K5Ib                  
910 	* e Leo                  	*  	172.57872098 -03.00349735  	 8.14 	 6.31 	 4.77 	     ~	     ~	K3/4III               
911 	HR 5967                  	*  	240.85078937 -38.60254243  	 4.18 	 4.75 	 4.89 	 4.96 	 5.10 	B5/7III/IV            
912 	* 72 Oph                 	*  	271.83743304 +09.56384725  	 3.95 	 3.85 	 3.73 	 3.59 	 3.54 	A5V                   
913 	* ups Cet                	*  	030.00128817 -21.07783183  	 7.45 	 5.58 	 4.02 	 2.76 	 1.72 	K5/M0III              
914 	* gam CMi                	SB*	112.04080553 +08.92552968  	 7.26 	 5.73 	 4.30 	 3.19 	 2.40 	K3III                 
915 	* omi Aqr                	Be*	330.82851679 -02.15536298  	 4.22 	 4.64 	 4.69 	 4.70 	 4.74 	B7IVe                 
916 	* gam Mic                	*  	315.32275197 -32.25776593  	     ~	 5.543	 4.677	 4.7  	     ~	G8III                 
917 	* b Leo                  	V* 	165.58239904 +20.17984070  	     ~	 4.465	 4.407	     ~	     ~	kA1VmA3V              
918 	* ksi UMa B              	SB*	169.545625 +31.529372      	     ~	 5.38 	 4.729	 4.4  	     ~	G2V                   
919 	* psi Cen                	*  	215.13930120 -37.88529310  	 3.91 	 4.022	 4.049	 6.13 	 8.45 	A0IV                  
920 	* d Cen                  	*  	202.76106915 -39.40730528  	 6.08 	 5.04 	 3.88 	 3.04 	 2.45 	G8II/III              
921 	HR 2113                  	V* 	090.01395724 -03.07425545  	 6.95 	 5.74 	 4.52 	 3.59 	 2.92 	K1IV                  
922 	* ups Sgr                	Be*	290.43176182 -15.95501735  	 4.18 	 4.71 	 4.61 	 4.34 	 4.21 	F2p                   
923 	* 34 Boo                 	sr*	220.85567936 +26.52785176  	 8.44 	 6.46 	 4.79 	 3.37 	 2.11 	M3III                 
924 	* eta Ori A              	SB*	081.119238 -02.397136      	     ~	 3.417	 3.594	     ~	     ~	B1V                   
925 	* iot Aql                	*  	294.18031692 -01.28660030  	 3.84 	 4.28 	 4.36 	 4.34 	 4.42 	B5III                 
926 	* pi. CMa                	V* 	103.90596244 -20.13649729  	     ~	 5.019	 4.687	     ~	     ~	F1.5V                 
927 	* eps Sgr                	** 	276.04299335 -34.38461649  	 1.69 	 1.82 	 1.85 	 1.85 	 1.86 	B9.5III               
928 	* nu. And                	SB*	012.45353069 +41.07891011  	 3.80 	 4.38 	 4.53 	 4.56 	 4.71 	F8IV-V+M4V            
929 	HR 6237                  	SB*	251.32423394 +56.78184983  	     ~	 5.187	 4.849	     ~	     ~	F2V                   
930 	* iot And                	*  	354.53417207 +43.26807358  	 3.90 	 4.18 	 4.29 	 4.29 	 4.38 	B8V                   
931 	* ups Dra                	SB*	283.59940132 +71.29719182  	     ~	 5.978	 4.827	     ~	     ~	K0III                 
932 	* del Gem A              	*  	110.030788 +21.982339      	     ~	 3.855	 3.518	     ~	     ~	F2VkF0mF0             
933 	* tet Vir                	*  	197.48746111 -05.53900515  	     ~	 4.381	 4.381	     ~	     ~	A1IVs+...             
934 	* mu.01 Sco              	bL*	252.96762965 -38.04738039  	 1.98 	 2.82 	 2.98 	     ~	     ~	B1.5Vp+...            
935 	* psi Sgr                	SB*	288.88511073 -25.25668246  	     ~	 5.41 	 4.85 	     ~	     ~	K0/1III+A/F           
936 	* ome Ori                	Be*	084.79644299 +04.12146652  	 3.73 	 4.48 	 4.59 	 4.57 	 4.67 	B3Ve                  
937 	* 3 Cet                  	V* 	001.12549281 -10.50952359  	     ~	 6.613	 4.953	     ~	     ~	K3Ib                  
938 	* mu. Ori A              	SB*	090.595821 +09.647289      	 4.56 	 4.43 	 4.30 	 4.15 	 4.09 	A1Vm                  
939 	* phi Per                	Be*	025.91515800 +50.68873134  	 3.10 	 4.02 	 4.06 	 3.90 	 3.88 	B1.5V:e-shell         
940 	* eps Col                	*  	082.80314749 -35.47052029  	 6.09 	 5.01 	 3.87 	 3.05 	 2.45 	K1II/III              
941 	* 71 Tau                 	dS*	066.58642051 +15.61826810  	     ~	 4.727	 4.490	 5.96 	 4.15 	F0V                   
942 	* lam Aur                	PM*	079.78530918 +40.09905072  	 5.46 	 5.33 	 4.71 	 4.18 	 3.86 	G1V                   
943 	C 0712-310               	OpC	108.8333 -30.6833          	     ~	     ~	 3.6  	     ~	     ~	~                     
944 	C 0652-245               	OpC	104.0833 -24.7300          	     ~	 3.02 	 2.6  	     ~	     ~	~                     
945 	* 57 Cyg                 	Al*	313.31147928 +44.38726134  	 4.05 	 4.63 	 4.77 	 4.84 	 4.97 	B5V                   
946 	* lam Peg                	*  	341.63282442 +23.56565448  	 5.93 	 5.00 	 3.93 	 3.16 	 2.66 	G8IIIa_CN0.5          
947 	* 9 Hya                  	PM*	130.43056777 -15.94338462  	     ~	 5.932	 4.873	     ~	     ~	K0IIICNII             
948 	* bet Com                	PM*	197.96830746 +27.87818153  	 4.92 	 4.84 	 4.25 	 3.77 	 3.47 	F9.5V                 
949 	NAME Kepler's SN         	SNR	262.649900 -21.482286      	     ~	     ~	-3    	     ~	     ~	SN.Ia                 
950 	* kap UMa                	*  	135.90636507 +47.15652473  	     ~	 3.60 	 3.60 	     ~	     ~	A1Vn                  
951 	* f Per                  	SB*	063.72216868 +40.48367509  	     ~	 5.650	 4.691	     ~	     ~	G5II+A2V              
952 	* g UMa                  	** 	201.30640764 +54.98795966  	 4.260	 4.180	 4.010	 3.85 	 3.78 	A5V+M3-4V             
953 	* alf Sct                	V* 	278.80178235 -08.24407024  	 6.70 	 5.17 	 3.83 	 2.86 	 2.18 	K3III                 
954 	V* RR UMi                	sr*	224.39586369 +65.93246026  	 7.86 	 6.19 	 4.54 	 2.69 	 0.97 	M5III                 
955 	* tet01 Tau              	SB*	067.14373348 +15.96218040  	 5.510	 4.780	 3.840	 5.48 	     ~	K0IIIb                
956 	* 67 Oph                 	*  	270.16131745 +02.93156455  	 3.34 	 3.96 	 3.93 	 3.84 	 3.81 	B5I                   
957 	* psi01 Aur              	sr*	096.22458869 +49.28789442  	 8.85 	 6.67 	 4.75 	 3.36 	 2.29 	K5Iab                 
958 	* gam Vir A              	*  	190.416596 -01.449514      	     ~	 3.80 	 3.440	     ~	     ~	F0IV                  
959 	* nu. UMa                	*  	169.61973601 +33.09430852  	 6.44 	 4.89 	 3.49 	 2.43 	 1.73 	K3III_Ba0.3           
960 	* 27 Psc                 	** 	359.66823782 -03.55598275  	     ~	 5.808	 4.890	     ~	     ~	G8III                 
961 	* omi Ori                	S* 	073.13318153 +14.25064486  	     ~	 6.534	 4.752	     ~	     ~	M3SIII                
962 	* del Ori B              	*  	083.001708 -00.299136      	     ~	     ~	 3.76 	     ~	     ~	O9V                   
963 	* lam Ser                	SB*	236.61089255 +07.35306802  	 5.13 	 5.03 	 4.42 	 3.92 	 3.60 	G0IV-V                
964 	* zet Crt                	** 	176.19073394 -18.35067494  	     ~	 5.673	 4.717	     ~	     ~	G8III                 
965 	* 16 Aur                 	SB*	079.54404256 +33.37161348  	     ~	 5.828	 4.552	 3.8  	 3.2  	K2.5IIIb              
966 	* 30 Cyg                 	V* 	303.32522325 +46.81567845  	     ~	 4.927	 4.833	     ~	     ~	A5IIIn                
967 	* 102 Her                	*  	272.18954758 +20.81455774  	 3.38 	 4.191	 4.355	     ~	     ~	B2IV                  
968 	* zet Sgr                	** 	285.65304266 -29.88006330  	     ~	 2.704	 2.607	     ~	     ~	A2.5Va                
969 	* ome UMa                	SB*	163.49475146 +43.18995785  	     ~	 4.643	 4.668	     ~	     ~	G5IIIa                
970 	V* X Sgr                 	cC*	266.89010133 -27.83078694  	 5.84 	 5.34 	 4.54 	     ~	 3.661	F7II                  
971 	* eps Aql                	SB*	284.90566133 +15.06830196  	 6.14 	 5.10 	 4.02 	 3.26 	 2.74 	K1III                 
972 	* omi Per                	SB*	056.07971685 +32.28824802  	 3.13 	 3.88 	 3.83 	 3.71 	 3.71 	B1III                 
973 	* gam Cyg                	V* 	305.55709098 +40.25667916  	 3.44 	 2.90 	 2.23 	 1.74 	 1.40 	F8Ib                  
974 	* del Her A              	** 	258.757963 +24.839192      	     ~	 3.189	 3.103	     ~	     ~	A1IVn                 
975 	* kap Oph                	LP?	254.41707438 +09.37503128  	 5.52 	 4.36 	 3.20 	 2.36 	 1.82 	K2III                 
976 	* 11 Cep                 	PM*	325.48038905 +71.31141838  	     ~	 5.664	 4.544	 3.9  	 3.3  	K1III                 
977 	* rho Boo                	V* 	217.95745674 +30.37143836  	 6.33 	 4.89 	 3.59 	 2.67 	 2.02 	K3III                 
978 	* 16 Com                 	*iC	186.74707119 +26.82570003  	     ~	 5.061	 4.965	     ~	 4.93 	A4V                   
979 	* 42 Dra                 	PM*	276.49640558 +65.56348021  	     ~	 6.020	 4.833	     ~	     ~	K1.5III_Fe-1          
980 	* i Boo                  	WU*	225.94706520 +47.65406188  	     ~	 5.41 	 4.76 	     ~	     ~	G0Vn                  
981 	* gam01 And              	SB*	030.9748046 +42.3297247    	 4.22 	 3.30 	 2.10 	 1.16 	 0.47 	K3IIb                 
982 	* iot UMa A              	SB*	134.803387 +48.042314      	     ~	 3.36 	 3.13 	     ~	     ~	A7V(n)                
983 	Weis 52699               	*  	196.7867 +27.6125          	     ~	 6.28 	 4.80 	     ~	     ~	K5III-IV              
984 	* ups Cyg                	Be*	319.47947940 +34.89689692  	 3.50 	 4.32 	 4.42 	 4.37 	 4.45 	B2Vne                 
985 	* alf Psc                	a2*	030.51174881 +02.76376138  	     ~	 3.84 	 3.82 	     ~	     ~	kA0hA7Sr+kA2hF2mF2(IV)
986 	* del Cet                	bC*	039.87064912 +00.32850959  	 2.97 	 3.85 	 4.07 	     ~	     ~	B2IV                  
987 	RX J1724.2+6957          	X  	261.07133 +69.94653        	     ~	 5.37 	 4.89 	     ~	     ~	~                     
988 	* lam Leo                	V* 	142.93011473 +22.96796956  	 7.74 	 5.85 	 4.31 	 3.09 	 2.19 	K4.5III               
989 	HR 2450                  	*  	099.81966442 -14.14576301  	     ~	 6.349	 4.832	     ~	     ~	K2III                 
990 	* lam CMa                	*  	097.04253114 -32.58006820  	 3.70 	 4.31 	 4.48 	 4.54 	 4.70 	B4V                   
991 	SN 1572A                 	SN*	006.3397 +64.1408          	     ~	     ~	-4.0  	     ~	     ~	B8                    
992 	* 35 Ari                 	SB*	040.86296604 +27.70714536  	 3.91 	 4.54 	 4.67 	 4.69 	 4.82 	B3V                   
993 	* 16 Lib                 	PM*	224.29583370 -04.34645964  	 4.86 	 4.81 	 4.49 	 4.17 	 4.00 	F2V                   
994 	NOVA Vul 1670            	No*	296.9083 +27.3133          	     ~	 3.0  	 2.7  	     ~	     ~	~                     
995 	* 13 Mon                 	*iN	098.22595618 +07.33297062  	 4.30 	 4.50 	 4.50 	 4.40 	 4.36 	A0I                   
996 	* mu. Psc                	PM*	022.54631015 +06.14382159  	 7.75 	 6.22 	 4.84 	 3.78 	 3.04 	K4III                 
997 	* 110 Her                	V* 	281.41552377 +20.54631030  	 4.66 	 4.65 	 4.19 	 3.80 	 3.54 	F6V                   
998 	HR 8702                  	*  	341.87111550 +83.15383011  	     ~	 6.064	 4.783	     ~	     ~	K3III                 
999 	* eta UMi                	PM*	244.37619567 +75.75533014  	     ~	 5.32 	 4.95 	 4.7  	 4.6  	F5V                   
1000	* ups02 Hya              	V* 	151.28112034 -13.06462670  	 4.22 	 4.515	 4.594	     ~	     ~	B8V                   
1001	* 63 Aur                 	*  	107.91386775 +39.32055194  	     ~	 6.400	 4.907	     ~	     ~	K3.5III               
1002	V* Y CVn                 	C* 	191.28261523 +45.44025692  	14.03 	 7.41 	 4.87 	 3.12 	 1.74 	C5,4J                 
1003	* iot Ser                	*  	235.38772788 +19.67039944  	     ~	 4.567	 4.509	     ~	     ~	A1V                   
1004	* 21 Lyn                 	*  	111.67854946 +49.21152519  	     ~	 4.612	 4.614	     ~	     ~	A0.5Vs                
1005	* gam Tau                	** 	064.94834937 +15.62764318  	 5.46 	 4.64 	 3.65 	 4.83 	     ~	G9.5IIIab_CN0.5       
1006	* ome Oph                	a2*	248.03416595 -21.46639223  	 4.69 	 4.56 	 4.45 	 4.32 	 4.30 	ApSrEuCr              
1007	BD+35 668s               	*  	050.035812 +36.182794      	     ~	 0.00 	 0.00 	     ~	     ~	F2III:                
1008	* pi. Sgr                	** 	287.44097053 -21.02361398  	 3.46 	 3.22 	 2.88 	 2.54 	 2.30 	F2II-III              
1009	TYC 4757-1588-2          	SB*	081.119704 -02.397033      	     ~	 4.747	 4.895	     ~	     ~	B2:                   
1010	* i Sco                  	*iN	247.55197974 -25.11522341  	 3.93 	 4.72 	 4.79 	 4.85 	 4.99 	B3V                   
1011	HR 3923                  	*  	148.71754112 -19.00935969  	 8.44 	 6.51 	 4.94 	     ~	     ~	K5III                 
1012	* kap Gem                	** 	116.11188987 +24.39799645  	 5.19 	 4.49 	 3.57 	 2.86 	 2.41 	G8IIIa                
1013	* 15 Lyn                 	*  	104.31918859 +58.42276124  	 5.71 	 5.20 	 4.35 	 3.70 	 3.26 	G5III-IV              
1014	* alf Leo                	PM*	152.09296244 +11.96720878  	 0.88 	 1.24 	 1.40 	 1.37 	 1.47 	B8IVn                 
1015	* gam Com                	*iC	186.73446698 +28.26842252  	 6.64 	 5.47 	 4.34 	 3.53 	 3.01 	K1III                 
1016	V* T Aur                 	No*	082.99633 +30.44583        	 4.80 	 4.49 	 4.10 	13.500	     ~	~                     
1017	* 72 Peg                 	** 	353.48828297 +31.32527939  	     ~	 6.394	 4.993	     ~	     ~	K4III                 
1018	* eta Cyg                	*  	299.07655092 +35.08342299  	 5.800	 4.910	 3.880	 3.19 	 2.66 	K0III                 
1019	* phi Vir                	** 	217.05057892 -02.22796054  	     ~	 5.497	 4.844	 4.8  	     ~	G2IV+K0V              
1020	* 134 Tau                	*  	087.38720726 +12.65132173  	 4.68 	 4.821	 4.877	     ~	     ~	B9IV                  
1021	* 72 Cyg                 	PM*	323.69401601 +38.53405692  	 6.99 	 5.99 	 4.91 	 4.09 	 3.55 	K1III                 
1022	* 56 Cet                 	*  	029.16749428 -22.52678477  	     ~	 6.27 	 4.85 	     ~	     ~	K3III                 
1023	* gam01 Sgr              	cC*	271.25510037 -29.58008887  	 5.99 	 5.47 	 4.69 	     ~	 3.869	G0Ib/II               
1024	* sig Ori                	SB*	084.68658057 -02.60003294  	 2.54 	 3.55 	 3.80 	 3.87 	 4.11 	O9.5V                 
1025	* 41 Cyg                 	V* 	307.34889838 +30.36855466  	 4.69 	 4.42 	 4.01 	 3.65 	 3.42 	F5Ib-II               
1026	* gam02 Sgr              	PM*	271.45203375 -30.42408985  	 4.77 	 4.00 	 2.99 	 2.26 	 1.75 	K1III                 
1027	V* ET Vir                	sr*	212.71035855 -16.30202967  	 8.76 	 6.63 	 4.91 	     ~	     ~	M1III                 
1028	* 58 Leo                 	** 	165.14020046 +03.61749350  	     ~	 6.015	 4.852	     ~	     ~	K1III                 
1029	* gam Cam                	*  	057.58962049 +71.33226347  	     ~	 4.677	 4.622	     ~	     ~	A2IVn                 
1030	* ksi Gem                	V* 	101.32235133 +12.89559198  	 3.85 	 3.79 	 3.36 	 2.97 	 2.74 	F5IV-V                
1031	* ksi Hya                	** 	173.25047940 -31.85762318  	 5.17 	 4.47 	 3.54 	 2.84 	 2.36 	G7III                 
1032	* del Ori                	Al*	083.00166706 -00.29909511  	 0.96 	 2.02 	 2.41 	 2.32 	 2.54 	B0III+O9V             
1033	* gam UMa                	Em*	178.45769715 +53.69475973  	 2.440	 2.450	 2.440	 2.44 	 2.47 	A0Ve+K2V              
1034	* 30 Psc                 	LP?	000.49008320 -06.01407096  	 7.88 	 6.04 	 4.41 	 2.85 	 1.44 	M2III                 
1035	* eps Her                	SB*	255.07239075 +30.92640458  	 3.80 	 3.91 	 3.92 	 3.93 	 3.97 	A0V                   
1036	* tet Gem                	*  	103.19724530 +33.96125485  	 3.84 	 3.70 	 3.60 	 3.50 	 3.42 	A2IV                  
1037	NAME DEL LYR Cluster     	OpC	283.3750 +36.9167          	     ~	 4.58 	 3.8  	     ~	     ~	~                     
1038	* zet Lep                	*  	086.73892066 -14.82194998  	     ~	 3.655	 3.545	     ~	     ~	A2IV-V(n)             
1039	* 7 Cam                  	SB*	074.32165039 +53.75210150  	     ~	 4.444	 4.452	     ~	 4.39 	A1V                   
1040	* gam Boo                	dS*	218.01946582 +38.30825118  	 3.33 	 3.21 	 3.02 	 2.88 	 2.80 	A7IV+(n)              
1041	* zet Mon                	*  	122.14852762 -02.98378780  	 6.02 	 5.30 	 4.33 	 3.60 	 3.11 	G2Iab/b               
1042	* del Her                	** 	258.75796074 +24.83920697  	 3.29 	 3.21 	 3.13 	 3.08 	 3.05 	A1IVn+G4IV-V          
1043	NGC 1981                 	OpC	083.7875 -04.4317          	     ~	     ~	 4.2  	     ~	     ~	~                     
1044	* ksi Col                	*  	088.87465530 -37.12067100  	     ~	 6.066	 4.970	     ~	     ~	K1IIICNII             
1045	* bet Lib                	V* 	229.25172425 -09.38291441  	 2.14 	 2.51 	 2.62 	 2.67 	 2.76 	B8Vn                  
1046	[SC96] Mis 1358          	UV 	276.3500 -20.5500          	     ~	     ~	 4.81 	     ~	     ~	K1/K2II/IIIv...       
1047	* omi01 Eri              	dS*	062.96641483 -06.83757955  	     ~	 4.353	 4.040	     ~	     ~	F0III                 
1048	* mu. UMa                	SB*	155.58224902 +41.49951920  	 6.53 	 4.64 	 3.05 	 1.76 	 0.80 	M0III                 
1049	* 1 Lac                  	V* 	333.99240304 +37.74873293  	 7.24 	 5.61 	 4.15 	 3.15 	 2.43 	K3II-III              
1050	* 83 UMa                 	sr*	205.18447230 +54.68163587  	 8.25 	 6.29 	 4.66 	 3.26 	 2.14 	M2III                 
1051	* gam Psc                	PM*	349.29140621 +03.28228833  	 5.20 	 4.62 	 3.70 	 2.98 	 2.47 	G8IV                  
1052	* eps CMa                	*  	104.65645315 -28.97208616  	 0.36 	 1.29 	 1.50 	 1.59 	 1.80 	B1.5II                
1053	* alf Vir                	bC*	201.29824736 -11.16131949  	-0.20 	 0.74 	 0.97 	 1.06 	 1.30 	B1III-IV+...          
1054	* eta Cas                	RS*	012.27621124 +57.81518773  	 4.04 	 4.02 	 3.44 	 2.94 	 2.58 	G3V                   
1055	HIP 37229                	** 	114.70779496 -26.80383873  	     ~	 3.61 	 3.80 	     ~	     ~	~                     
1056	* tau CMa                	bL*	109.67702675 -24.95437258  	 3.26 	 4.25 	 4.40 	 4.44 	 4.62 	O9II                  
1057	* 38 Lyn                 	** 	139.71101600 +36.80259252  	     ~	 3.88 	 3.82 	 6.0  	 3.81 	A1V                   
1058	* mu. Cep                	sr*	325.87692107 +58.78004450  	 8.85 	 6.43 	 4.08 	 1.98 	 0.22 	M2eIa                 
1059	* kap Ori                	s*b	086.93912017 -09.66960492  	 0.87 	 1.88 	 2.06 	 2.09 	 2.27 	B0.5Ia                
1060	* 31 Com                 	Ro*	192.92467528 +27.54071539  	 5.81 	 5.61 	 4.94 	 4.39 	 4.04 	G0IIIp                
1061	* kap Her A              	*  	242.01885336 +17.04697638  	     ~	 5.927	 4.994	     ~	     ~	G7III                 
1062	* kap Peg                	SB*	326.16139677 +25.64503776  	     ~	 4.550	 4.159	     ~	     ~	F5V                   
1063	* bet Cas                	dS*	002.29452158 +59.14978110  	 2.73 	 2.61 	 2.27 	 1.97 	 1.77 	F2III                 
1064	* ups Oph                	SB*	246.95078000 -08.37172902  	     ~	 4.80 	 4.63 	 4.6  	     ~	kA2hA5VmA5            
1065	* eps Mic                	*  	319.48451664 -32.17254209  	     ~	 4.794	 4.721	     ~	     ~	A0V                   
1066	* alf Col                	Be*	084.91225430 -34.07410972  	 2.10 	 2.53 	 2.65 	 2.65 	 2.74 	B9Ve                  
1067	* sig Sgr                	*  	283.81636041 -26.29672411  	 1.06 	 1.925	 2.058	     ~	     ~	B2V                   
1068	* phi02 Ori              	PM*	084.22661744 +09.29066933  	 5.70 	 5.04 	 4.09 	 3.33 	 2.78 	G9IV                  
1069	* kap Vir                	V* 	213.22393910 -10.27370388  	 7.00 	 5.53 	 4.21 	 3.14 	 2.39 	K2/3III               
1070	* eps Sct                	*  	280.880217 -08.275222      	     ~	 6.013	 4.900	     ~	     ~	G8III                 
1071	* eps Cas                	Be*	028.59885697 +63.67010079  	 2.61 	 3.22 	 3.37 	 3.40 	 3.52 	B3Vp_sh               
1072	* alf Vul                	PM*	292.17637482 +24.66490346  	 7.77 	 5.95 	 4.45 	 3.24 	 2.27 	M0III                 
1073	* tau09 Eri              	a2*	059.98118254 -24.01621661  	 4.11 	 4.52 	 4.66 	 4.64 	 4.77 	ApSi                  
1074	* lam Her                	V* 	262.68462592 +26.11064481  	 7.53 	 5.85 	 4.41 	 3.37 	 2.62 	K3III_Ba0.1           
1075	* 15 Dra                 	*  	246.99589369 +68.76813869  	 4.84 	 4.917	 4.959	     ~	     ~	A0III                 
1076	* 9 Cep                  	Pu*	324.48010288 +62.08193957  	 4.49 	 5.03 	 4.73 	 4.42 	 4.24 	B2Ib                  
1077	* sig Per                	V* 	052.64368937 +47.99521689  	 7.25 	 5.71 	 4.36 	     ~	     ~	K3III                 
1078	* 60 Sgr A               	*  	299.73833006 -26.19576513  	     ~	 5.733	 4.851	     ~	     ~	G8II/III              
1079	* gam Peg                	bC*	003.30896346 +15.18359354  	 1.75 	 2.61 	 2.84 	 2.94 	 3.13 	B2IV                  
1080	* pi. Cas                	SB*	010.86696022 +47.02454705  	     ~	 5.123	 4.959	     ~	 4.79 	A5V                   
1081	* c Per                  	Be*	062.16538400 +47.71251193  	 3.45 	 4.00 	 4.03 	 3.91 	 3.93 	B3Ve                  
