C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
51  ;* iot01 Sco                ;* iot01 Sco                        ;266.8961713746 -40.1269970414      ;     0.01 -6.24     ;1.69      ;-27.6       ;2.992    
52  ;* nu.02 Dra                ;* nu.02 Dra                        ;263.0668438464700 +55.1729181291500; 144.339 59.585     ;33.4187   ;-16.00      ;     ~   
53  ;* ups01 Cas                ;* ups01 Cas                        ;013.7506487615800 +58.9726992072100;-31.200 -44.986     ;9.062     ;-22.36      ;4.820    
54  ;* alf Hor                  ;* alf Hor                          ;063.5004759275692 -42.2943685430919;41.992 -203.157     ;27.7210   ;21.749      ;3.86     
55  ;* alf And                  ;* alf And                          ;002.09691619 +29.09043112          ; 137.46 -163.44     ;33.62     ;-10.10      ;2.06     
56  ;* pi.02 Cyg                ;* pi.02 Cyg                        ;326.6983679908 +49.3095697489      ;     2.77 -2.00     ;2.95      ;-12.3       ;4.18     
57  ;* kap Pav                  ;* kap Pav                          ;284.2376208063500 -67.2334947809100;  -8.186 16.042     ;5.2451    ;37.80       ;4.40     
58  ;* tau Peg                  ;* tau Peg                          ;350.1593592882200 +23.7403550644600;  36.270 -2.505     ;20.7145   ;15.20       ;4.580    
59  ;* sig Ser                  ;* sig Ser                          ;245.5181175652599 +01.0290435091200;-158.172 50.612     ;35.5388   ;-49.30      ;     ~   
60  ;* iot CMa                  ;* iot CMa                          ;104.0342671942 -17.0542409633      ;     -3.56 2.42     ;1.30      ;41.20       ;4.385    
61  ;* zet Sct                  ;* zet Sct                          ;275.9149110759500 -08.9344865646300;  48.894 54.530     ;17.8678   ;-5.02       ;4.664    
