 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
142 	HR 7659                  	V* 	301.08164113 -32.05629802  	     ~	 6.20 	 4.99 	     ~	     ~	K1III/IV              
143 	* ups02 Eri              	*  	068.88765974 -30.56234160  	 5.52 	 4.80 	 3.82 	 3.07 	 2.58 	G8+III                
144 	V* V841 Oph              	No*	254.87654 -12.89086        	     ~	 5.0  	 4.3  	12.200	     ~	~                     
145 	* kap Aur                	V* 	093.84453775 +29.49807668  	 6.17 	 5.36 	 4.35 	 3.55 	 3.01 	G8.5IIIb              
146 	* 55 UMa                 	SB*	169.78291520 +38.18556347  	     ~	 4.90 	 4.80 	     ~	     ~	A2V                   
147 	* tau Per                	Al*	043.56442116 +52.76247888  	 5.17 	 4.71 	 3.96 	 3.33 	 2.89 	G8III+A7V             
148 	* gam Cen A              	*  	190.379308 -48.959911      	     ~	 2.84 	 2.82 	     ~	     ~	A1IV                  
149 	* tau01 Hya              	SB*	142.28706895 -02.76896247  	     ~	 5.06 	 4.60 	 4.6  	     ~	F5V                   
150 	* rho Per                	sr*	046.29414106 +38.84027619  	 6.83 	 5.04 	 3.39 	 1.59 	-0.03 	M4+IIIa               
151 	* nu. Pup                	Ce*	099.44029730 -43.19593338  	 2.65 	 3.06 	 3.17 	 3.17 	 3.24 	B8III                 
152 	V* VZ Cam                	sr*	112.76859477 +82.41146631  	 8.42 	 6.62 	 4.96 	     ~	     ~	M4IIIa                
153 	* del Tuc                	** 	336.83319771 -64.96635487  	     ~	 4.482	 4.495	     ~	     ~	B9Vn+G0V              
154 	V* V831 Cen              	El*	198.07331078 -59.92057893  	 4.11 	 4.49 	 4.55 	     ~	     ~	B7V                   
155 	* bet01 Mon              	Be*	097.20445713 -07.03305836  	 3.87 	 4.50 	 4.60 	     ~	     ~	B4Veshell             
156 	* kap Leo                	** 	141.16357808 +26.18232361  	 7.00 	 5.69 	 4.46 	 3.55 	 2.92 	K2III                 
157 	* Q Sco                  	PM*	264.13676323 -38.63536804  	     ~	 5.356	 4.272	     ~	     ~	G8/K0III/IV           
158 	* 35 Peg                 	PM*	336.96467687 +04.69566681  	 6.74 	 5.86 	 4.80 	 4.02 	 3.46 	G8IV                  
159 	* i Dra                  	LP?	207.85808074 +64.72327019  	 8.12 	 6.23 	 4.66 	 3.05 	 1.69 	M3III                 
160 	HD 123569                	*  	212.47839509 -53.43894527  	     ~	 5.672	 4.746	     ~	     ~	G8III                 
161 	HD 36960                 	IR 	083.76116975 -06.00202877  	 3.52 	 4.53 	 4.78 	     ~	     ~	B1/2Ib/II             
162 	* tet Col                	*  	091.88180066 -37.25291982  	     ~	 4.899	 4.993	     ~	     ~	B(8)IV                
163 	* eps TrA                	*  	234.18009263 -66.31703705  	     ~	 5.284	 4.113	     ~	     ~	K1/2III               
164 	* bet Aps                	PM*	250.76940214 -77.51743413  	     ~	 5.30 	 4.24 	     ~	     ~	K0III                 
165 	* nu. For                	a2*	031.12266087 -29.29681882  	 4.01 	 4.52 	 4.69 	 4.73 	 4.87 	B9.5IIIspSi           
166 	* gam Equ A              	*  	317.585421 +10.131575      	     ~	 5.01 	 4.70 	     ~	     ~	~                     
167 	* 2 Cet                  	*  	000.93494934 -17.33599220  	 4.4  	 4.503	 4.543	     ~	 4.58 	B9IVn                 
