C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
4447;HD 102839                          ;177.4858975595100 -70.2257891191000;  -8.113 -0.834     ;2.1101    ;13.54       ;4.964    
4448;* pi. Cha                          ;174.3151512821 -75.8965451839      ;  -127.94 -1.82     ;24.09     ;-15.27      ;5.637    
4449;HD 1032                            ;003.3317578318300 -84.9939771819800;  11.046 17.696     ;3.8517    ;5.59        ;5.77     
4450;HD 11025                           ;024.3668187197600 -84.7696169346200;  34.227 26.193     ;8.6392    ;17.8        ;5.667    
4451;* gam03 Oct                        ;002.5090520435900 -82.2240470805800;-22.050 -20.218     ;12.3535   ;15.0        ;5.283    
4452;* tet Oct                          ;000.3987477119846 -77.0657253520472;-56.841 -176.791    ;15.4549   ;22.48       ;4.783    
4453;HD 1801                            ;005.3698843365200 -77.4268817227800;  15.315 -8.644     ;4.0262    ;22.90       ;5.959    
4454;* bet Hyi                          ;006.43779316 -77.25424612          ; 2219.54 324.09     ;134.07    ;23.085      ;2.79     
4455;HD 225253                          ;001.1721164008100 -71.4368900967200; 30.282 -13.114     ;5.5803    ;0.00        ;5.585    
4456;NGC 104                            ;006.022329 -72.081444              ;     5.25 -2.53     ;0.1951    ;-17.21      ;4.09     
4457;* pi. Tuc                          ;005.1626759494600 -69.6249187397000;   -4.465 4.861     ;10.0847   ;11.6        ;5.499    
4458;* zet Tuc                          ;005.0177443062317 -64.8747936639189;1706.747 1164.959   ;116.1826  ;9.280       ;4.23     
4459;* tau Phe                          ;000.2690953766300 -48.8098743888900; -17.506 -6.325     ;6.6758    ;14.70       ;5.698    
4460;HD 224865                          ;000.3338295273000 -50.3373702627700;   7.722 11.887     ;5.3743    ;2.3         ;5.524    
4461;* eps Phe                          ;002.3526670558200 -45.7474239081600;120.393 -179.597    ;22.6081   ;-9.20       ;3.87     
4462;* E Cen                            ;182.0612693097200 -48.6925114012600; -26.946 -6.772     ;6.0457    ;7.20        ;5.34     
4463;HD 105382                          ;182.0217594433300 -50.6612709587600;-32.587 -11.550     ;9.1857    ;16.50       ;4.47     
4464;* del Cen                          ;182.0895734887 -50.7224273928      ;   -49.94 -7.19     ;7.86      ;11.00       ;2.52     
4465;* rho Cen                          ;182.9129989498800 -52.3684401167400;-38.874 -13.280     ;12.4692   ;15.00       ;3.96     
4466;* del Cru                          ;183.7863196854 -58.7489269267      ;  -35.81 -10.36     ;9.45      ;22.2        ;2.752    
4467;* tet01 Cru                        ;180.7562554137 -63.3129279561      ;   -152.35 7.00     ;13.88     ;-2.80       ;4.32     
4468;* tet02 Cru                        ;181.0800836534300 -63.1656990736500;  -18.467 0.467     ;4.7314    ;16.30       ;4.716    
4469;HD 106068                          ;183.0915827537600 -62.9507738786700;  -5.195 -0.324     ;0.4874    ;-2.00       ;5.98     
4470;* zet Cru                          ;184.6093419771499 -64.0030853698000; -37.431 -6.576     ;9.2402    ;15.80       ;4.05     
4471;* eta Cru                          ;181.7204124987 -64.6137289936      ;   33.88 -37.02     ;50.62     ;10.40       ;4.136    
4472;* zet02 Mus                        ;185.5305793860800 -67.5221035900100; -29.729 -6.647     ;9.9903    ;-17.00      ;5.146    
4473;* zet01 Mus                        ;185.5501205283800 -68.3073359100100; -1.467 -47.437     ;9.1234    ;21.13       ;5.723    
4474;HD 104600                          ;180.6570524708000 -69.1922886170400; -38.824 -6.893     ;9.6358    ;7.60        ;5.876    
4475;HD 104878                          ;181.16202073 -68.32891093          ;   -39.14 -5.82     ;9.39      ;25.00       ;5.372    
4476;* eps Mus                          ;184.3928215029 -67.9607357306      ; -231.04 -26.39     ;10.82     ;7.10        ;4.02     
4477;* gam Mus                          ;188.1167226400 -72.1329888058      ;   -51.34 -5.40     ;10.04     ;2.50        ;3.88     
4478;HD 105340                          ;181.9578155054799 -75.3670180581100; -92.609 19.332     ;6.6166    ;-45.85      ;5.165    
4479;HD 108970                          ;188.0415655308000 -73.0010568237300;  40.069 -5.820     ;8.8145    ;5.47        ;5.874    
4480;* kap Cha                          ;181.1936284685800 -76.5190624809900; -77.818 45.738     ;6.4916    ;-2.4        ;5.024    
4481;* bet Cha                          ;184.5867691208 -79.3122419344      ;   -37.97 11.15     ;10.93     ;23.00       ;4.229    
4482;* kap Oct                          ;205.2311806103500 -85.7860422675300;-88.395 -23.285     ;11.4403   ;-9.00       ;5.555    
4483;* chi Oct                          ;283.6964192507800 -87.6058433139100;-36.555 -135.715    ;12.5114   ;33.60       ;5.278    
4484;* tau Oct                          ;352.0157729996300 -87.4822129360800;  16.782 11.957     ;6.8009    ;36.75       ;5.49     
4485;* sig Oct                          ;317.1952648758299 -88.9564995362700;   26.323 4.721     ;11.1005   ;11.9        ;5.42     
4486;* ups Oct                          ;337.9063131855600 -85.9672529001500; -37.556 61.431     ;9.5042    ;24.20       ;5.752    
4487;* bet Oct                          ;341.5146290838 -81.3816144403      ;    -54.49 1.16     ;21.85     ;19.00       ;4.128    
4488;* gam01 Oct                        ;358.0269715943500 -82.0188232186500;-45.670 -15.666     ;12.179    ;15.40       ;5.106    
4489;* gam02 Oct                        ;359.3869239487500 -82.1698082455700;-22.246 -23.235     ;10.1771   ;27.2        ;5.724    
4490;HD 222806                          ;356.1702691069199 -78.7914405767300;   49.327 7.345     ;5.7766    ;20.40       ;5.738    
4491;HD 221420                          ;353.3315787675700 -77.3853318182800;   16.306 0.736     ;32.1023   ;26.504      ;5.806    
4492;* eps Tuc                          ;359.9790733967 -65.5771334350      ;   47.93 -22.95     ;8.74      ;8.80        ;4.47     
4493;HD 222820                          ;356.0501930721000 -64.4044520981400;  15.174 34.471     ;4.6033    ;-4.61       ;5.711    
4494;* eta Tuc                          ;359.3961610362700 -64.2982298187400; 78.849 -61.755     ;20.4208   ;32.50       ;4.989    
4495;* pi. Phe                          ;359.7324145149800 -52.7458062563400;  58.510 62.022     ;12.0975   ;-13.49      ;5.133    
4496;* sig Phe                          ;356.8166517569300 -50.2264588840900;  9.526 -23.213     ;5.4931    ;11.00       ;5.166    
4497;* D Cen                            ;183.51123940 -45.72391615          ;    -35.35 5.56     ;5.71      ;6.8         ;5.31     
4498;* G Cen                            ;186.6323314421 -51.4506360964      ;  -30.66 -10.13     ;7.28      ;5.00        ;4.808    
4499;* F Cen                            ;184.7490069960100 -55.1429804442300;-76.734 -15.551     ;6.8899    ;-7.1        ;5.01     
4500;HD 107543                          ;185.4892817975600 -56.3743848744600; -10.222 -0.487     ;1.5081    ;0.33        ;5.884    
4501;HD 108732                          ;187.4758296482800 -56.5249376310600;   5.893 10.484     ;5.8581    ;34.60       ;5.776    
4502;HD 107696                          ;185.7059658307900 -57.6761302429700;-37.155 -11.919     ;9.6087    ;-5.40       ;5.366    
4503;* gam Cru                          ;187.79149838 -57.11321346          ;  28.23 -265.08     ;36.83     ;21.00       ;1.64     
4504;V* BL Cru                          ;186.8703194321400 -58.9917710032300;  -19.294 4.680     ;6.7917    ;71.7        ;5.50     
4505;* 35 Cru                           ;187.9180431510600 -59.4239235250900; -12.820 -3.948     ;1.7843    ;-19.6       ;5.53     
4506;* eps Cru                          ;185.3400390104 -60.4011469639      ;  -170.93 91.67     ;14.19     ;-4.60       ;3.59     
4507;* 256 Cru                          ;186.6286788283600 -63.1222353188700;-39.548 -13.760     ;9.3964    ;27.0        ;4.822    
4508;HD 110432                          ;190.7094431551600 -63.0586258281700; -12.857 -3.677     ;2.2826    ;22.00       ;5.31     
4509;HD 109000                          ;187.9838001513600 -63.5058393153100;  -47.586 5.709     ;12.618    ;-5.10       ;5.946    
4510;* bet Mus A                        ;191.570276100 -68.108096900        ;            ~ ~     ;      ~   ;~           ;3.55     
4511;* alf Mus                          ;189.2959078692 -69.1355647886      ;  -40.20 -12.80     ;10.34     ;13.00       ;2.649    
4512;* del Mus                          ;195.5677697342 -71.5488542331      ;  264.17 -22.75     ;35.88     ;36.5        ;3.62     
4513;HD 111315                          ;192.4373340568400 -71.9862414688100;  10.437 -7.354     ;5.4885    ;-6.38       ;5.543    
4514;HD 112219                          ;194.1320379067500 -72.1852130695300;-16.450 -12.766     ;4.4915    ;11.04       ;5.928    
4515;* iot01 Mus                        ;201.2796620689300 -74.8878194833000;-108.236 -132.718   ;14.4967   ;28.26       ;5.040    
4516;HD 114533                          ;198.5722071663500 -78.4474544878400;  -9.435 -4.222     ;1.5528    ;-16.05      ;5.839    
4517;* eta Aps                          ;214.5578995825599 -81.0077584983900;-19.981 -65.222     ;22.9229   ;-9.4        ;4.889    
4518;HD 120213                          ;208.9119818536900 -82.6661908656800;-24.805 -23.580     ;3.585     ;-34.49      ;5.94     
4519;* pi.01 Oct                        ;225.4616594994900 -83.2276473063600;  18.954 52.520     ;8.419     ;14.72       ;5.641    
4520;* pi.02 Oct                        ;226.1955135593300 -83.0383109755800; -8.312 -17.597     ;2.0741    ;-13.06      ;5.645    
4521;* del Oct                          ;216.7301351771 -83.6678852306      ;  -96.12 -13.27     ;10.91     ;4.60        ;4.304    
4522;* ome Oct                          ;227.7866339172000 -84.7877859785600;   2.984 -9.385     ;9.9406    ;-7.60       ;5.866    
4523;* rho Oct                          ;235.8205347803500 -84.4652746654400; 136.944 95.932     ;15.1591   ;-11.00      ;5.568    
4524;* lam Oct                          ;327.72734813 -82.71890140          ;   68.14 -31.86     ;7.97      ;-10.5       ;5.29     
4525;* eps Oct                          ;335.0069987354 -80.4397485361      ;   56.81 -43.47     ;11.22     ;11.70       ;5.177    
4526;* ksi Oct                          ;342.5950579206900 -80.1238449567800; 20.003 -12.607     ;6.35      ;22.10       ;5.311    
4527;* psi Oct                          ;334.4608143113899 -77.5115552041900; -37.392 13.788     ;25.7575   ;17.00       ;5.472    
4528;HD 217831                          ;346.2175839207000 -68.8202257007900;  44.508 63.263     ;18.6455   ;6.0         ;5.514    
4529;V* CG Tuc                          ;352.2540898136900 -63.1106554429200; 39.409 -13.258     ;8.4057    ;15.3        ;5.68     
4530;HD 220572                          ;351.3311032109100 -56.8489837616900; 84.881 -19.737     ;10.5993   ;-19.3       ;5.597    
4531;HD 220790                          ;351.8124697221300 -58.4761085685300;  52.792 69.948     ;10.2802   ;-11.3       ;5.636    
4532;HD 222095                          ;354.4624757558 -45.4923519928      ;   70.71 -12.66     ;16.29     ;3.40        ;4.74     
4533;* tau Cen                          ;189.4256837492000 -48.5413053592800;-186.081 -6.757     ;24.2953   ;5.50        ;3.86     
4534;* sig Cen                          ;187.0099253271 -50.2306353422      ;  -32.36 -12.51     ;7.92      ;8.00        ;3.91     
4535;HD 110506                          ;190.7882442526899 -56.1762272918900;-31.772 -12.079     ;8.0946    ;10.3        ;5.982    
4536;HD 110956                          ;191.5946441500 -56.4888157236      ;  -33.03 -14.84     ;8.48      ;16.6        ;4.620    
4537;* bet Cru                          ;191.93028656 -59.68877200          ;  -42.97 -16.18     ;11.71     ;10.30       ;1.25     
4538;* iot Cru                          ;191.4085486185800 -60.9813211880700;112.266 -65.641     ;26.1753   ;7.45        ;4.686    
4539;* 39 Cru                           ;190.4857049264700 -59.6858206790300; -24.464 -4.226     ;3.8643    ;12.5        ;4.94     
4540;HD 111613                          ;192.8249001115300 -60.3297889911400;  -4.634 -0.939     ;0.4534    ;-21.90      ;5.72     
4541;* lam Cru                          ;193.6632607321 -59.1467007942      ;  -32.92 -14.60     ;8.50      ;12.00       ;4.602    
4542;HD 114570                          ;198.2033448311700 -66.2267488062900;   25.081 6.991     ;10.5705   ;8.90        ;5.897    
4543;* tet Mus                          ;197.0298048772700 -65.3060220629300;  -4.272 -1.664     ;0.4613    ;-28.4       ;5.53     
4544;HD 115211                          ;199.3042207969300 -66.7834390263000; -15.346 -6.770     ;2.5221    ;-10.38      ;4.846    
4545;* eta Mus                          ;198.81225511 -67.89459100          ;  -36.46 -11.36     ;8.52      ;-8          ;4.780    
4546;HD 114371                          ;197.9643366457000 -69.9420158643200;   34.881 1.506     ;23.6917   ;7.30        ;5.906    
4547;* 67 Mus                           ;201.4595881987600 -70.6272525588600;  -55.129 1.026     ;7.9917    ;1.40        ;5.651    
4548;* tet Aps                          ;211.3328243154 -76.7967556622      ;  -87.54 -32.54     ;8.84      ;10.20       ;5.50     
4549;* alf Aps                          ;221.9654667696 -79.0447509014      ;   -4.58 -15.88     ;7.30      ;-0.10       ;3.798    
4550;* eps Aps                          ;215.5965194554 -80.1089459094      ;   -9.51 -14.34     ;5.06      ;4.50        ;5.052    
4551;HD 194612                          ;309.5775264865100 -81.2890628119300;  1.597 -37.819     ;4.3006    ;-0.18       ;5.889    
4552;HD 193721                          ;308.3234858580800 -80.9648873468800;  9.794 -16.081     ;4.2823    ;8.60        ;5.767    
4553;* nu. Oct                          ;325.3689251479717 -77.3900087616200;68.656 -250.044     ;51.5172   ;34.4        ;3.728    
4554;HD 208741                          ;330.7659279399500 -76.1184590636800; 24.821 -72.437     ;15.4736   ;11.68       ;5.926    
4555;* nu. Ind                          ;336.1536891218721 -72.2554133992961;1303.872 -674.186   ;35.1281   ;32.51       ;5.29     
4556;HD 212211                          ;336.2941839129400 -70.4316213776500;121.904 -61.700     ;19.4861   ;10.28       ;5.768    
4557;HD 219482                          ;349.2403645317800 -62.0011977966800;176.492 -26.092     ;48.9174   ;0.634       ;5.647    
4558;* gam Tuc                          ;349.3573185226400 -58.2357013761600; -10.769 74.585     ;44.0808   ;18.40       ;3.98     
4559;HD 220440                          ;351.0552532264700 -51.8911733430400; 23.285 -36.872     ;4.8124    ;-4.03       ;5.731    
4560;* omi Gru                          ;351.6523374979000 -52.7215776374100; 52.734 119.983     ;31.4197   ;21.49       ;5.522    
4561;HD 109409                          ;188.6766398366900 -44.6730187424800;-76.820 -206.791    ;35.1369   ;17.965      ;5.76     
4562;HD 110287                          ;190.3457698219400 -46.1455833395200; -71.585 59.130     ;4.5432    ;8.14        ;5.816    
4563;* w Cen                            ;190.6477143104 -48.8131082808      ; -123.84 -30.17     ;17.11     ;-10.86      ;4.66     
4564;* gam Cen                          ;190.37933367 -48.95987152          ;   -185.72 5.79     ;25.06     ;-5.50       ;2.17     
4565;* H Cen                            ;194.2681309358800 -51.1987535821000;-30.068 -15.526     ;7.7665    ;25.00       ;5.159    
4566;HD 111588                          ;192.7411573489999 -52.7874283165400;-25.492 -11.024     ;7.8676    ;-6.90       ;5.700    
4567;HD 111884                          ;193.2673526968200 -54.9524738194900;  -97.812 4.437     ;7.4681    ;-9.03       ;5.908    
4568;HD 112244                          ;193.9880567711900 -56.8358057139700;  -5.949 -1.077     ;0.7576    ;18.50       ;5.32     
4569;* mu.01 Cru                        ;193.6484356196 -57.1779229236      ;  -30.69 -13.08     ;7.87      ;13.90       ;4.04     
4570;* mu.02 Cru                        ;193.6536839956400 -57.1686649773300;-28.386 -10.447     ;8.2668    ;13.00       ;5.20     
4571;HD 114835                          ;198.5503618590800 -58.6839390697600;-55.922 -12.423     ;9.5714    ;-1.8        ;5.900    
4572;HD 113823                          ;196.85123639 -59.86050662          ;   -11.41 -6.60     ;5.88      ;4.00        ;5.98     
4573;V* V831 Cen                        ;198.07331078 -59.92057893          ;  -29.71 -17.40     ;8.61      ;12.00       ;4.593    
4574;HD 114837                          ;198.5631030749600 -59.1032372299900;-248.678 -153.176   ;54.8247   ;-63.62      ;4.93     
4575;* J Cen                            ;200.6580545899342 -60.9883806005858;-29.518 -21.698     ;8.8824    ;6.00        ;4.509    
4576;* m Cen                            ;201.0020112015999 -64.5356698585200; 28.959 -21.326     ;12.8919   ;13.26       ;4.52     
4577;HD 116457                          ;201.3080271115100 -64.4851491864200;-154.830 -21.523    ;26.2629   ;-2.3        ;5.312    
4578;HD 120913                          ;208.7046265817500 -67.6521014901600;-17.578 -15.424     ;3.4823    ;-7.43       ;5.705    
4579;HD 120404                          ;207.9476423250100 -69.4012580255500;   3.978 -2.243     ;3.3831    ;11.59       ;5.727    
4580;HD 131425                          ;225.0470908675700 -77.1605517643000;-13.997 -10.915     ;3.5348    ;2.48        ;5.920    
4581;* R Aps                            ;224.4707646610100 -76.6626546938800;-69.161 -16.583     ;7.8879    ;-31.20      ;5.359    
4582;* del01 Aps                        ;245.0866859363 -78.6957469289      ;  -10.23 -37.43     ;4.28      ;-12.0       ;4.68     
4583;* del02 Aps                        ;245.1119067890100 -78.6674960306600; -1.817 -31.511     ;5.795     ;-10.47      ;5.247    
4584;* gam Aps                          ;248.3628491125 -78.8971492233      ; -125.51 -78.25     ;20.87     ;5.40        ;3.854    
4585;V* NO Aps                          ;262.8644444076200 -80.8591322380100; -3.662 -43.943     ;4.1479    ;-18.30      ;5.856    
4586;HD 167714                          ;277.3330998457600 -80.2327070049500;-22.298 -63.166     ;9.0795    ;-12.80      ;5.946    
4587;* mu.01 Oct                        ;310.5124469137400 -76.1805920601100; 190.891 -9.479     ;9.7399    ;-36.00      ;5.977    
4588;* alf Oct                          ;316.1794278189204 -77.0237683555578;12.985 -369.816     ;22.1774   ;85.90       ;5.15     
4589;* omi Ind                          ;327.6965630165499 -69.6293740265400; -24.451 -4.913     ;6.1458    ;20.2        ;5.505    
4590;HD 212728                          ;337.1569601378400 -67.4890609512300;150.708 -71.383     ;22.8975   ;-18.20      ;5.564    
4591;* nu. Tuc                          ;338.2502599858 -61.9821219461      ;   40.07 -20.17     ;11.24     ;-3.40       ;4.81     
4592;* zet Gru                          ;345.2200314824300 -52.7541108578800;-64.223 -17.832     ;19.9108   ;-1.1        ;4.115    
4593;* kap Gru                          ;346.1651152957199 -53.9649021455600;57.129 -106.006     ;7.9636    ;17.70       ;5.363    
4594;HD 219507                          ;349.1657956203000 -44.4891635941400;   3.732 -9.216     ;10.1924   ;25.72       ;5.918    
4595;* e Cen                            ;193.2787763716917 -48.9433128825833;-79.450 -24.729     ;10.3334   ;-2.40       ;4.33     
4596;* ksi01 Cen                        ;195.8887712956200 -49.5272635817500;-47.858 -11.496     ;14.8276   ;0.00        ;4.826    
4597;* ksi02 Cen                        ;196.7276641554 -49.9062450900      ;  -26.15 -12.03     ;6.98      ;14.3        ;4.27     
4598;HD 113902                          ;196.9095193036800 -53.4597638314200;-37.952 -21.282     ;10.3001   ;22.00       ;5.698    
4599;HD 118261                          ;204.30159104 -61.69186338          ; 147.12 -120.05     ;27.99     ;69.10       ;5.63     
4600;HD 121474                          ;209.4120149041299 -63.6866983168400;-40.640 -33.433     ;15.2855   ;21.90       ;4.701    
4601;NGC 5281                           ;206.6140 -62.9160                  ;  -4.628 -2.389     ;0.603     ;-15.912     ;5.9      
4602;HD 118666                          ;205.0446156413900 -64.5765533173000;  -69.724 0.376     ;14.5177   ;4.2         ;5.785    
4603;HD 121932                          ;210.2185195913000 -66.2689110513200;-117.233 -24.549    ;13.8056   ;-17.40      ;5.948    
4604;HD 124471                          ;214.1613128598400 -66.5878969579600;  -7.706 -6.359     ;2.1003    ;-9.00       ;5.75     
4605;HD 125835                          ;216.2763623059400 -68.1953337681900;  -7.861 -3.916     ;1.0937    ;-22.40      ;5.62     
4606;HD 130458                          ;223.30654652 -73.19007258          ;    17.09 33.78     ;9.90      ;31.40       ;5.60     
4607;* kap02 Aps                        ;235.0889795186000 -73.4466672033300;-15.517 -26.408     ;4.5583    ;-19.0       ;5.65     
4608;* kap01 Aps                        ;232.8784255388300 -73.3895915398900;  0.996 -18.345     ;3.0798    ;62.00       ;5.49     
4609;HD 138867                          ;235.4778669144800 -76.0819643947500;-12.407 -41.541     ;7.8146    ;1.10        ;5.941    
4610;* bet Aps                          ;250.7694107384317 -77.5174331483869;-281.986 -354.837   ;20.9535   ;-30.30      ;4.24     
4611;HD 200525                          ;317.3436066586767 -73.1728168180770;431.236 -388.926    ;46.9930   ;-8.30       ;5.67     
4612;V* SX Pav                          ;322.1871868279 -69.5053859333      ;   82.51 -46.35     ;7.92      ;42.90       ;5.62     
4613;* omi Pav                          ;318.3354341918700 -70.1262547099100; 42.561 -21.617     ;2.4875    ;-19.00      ;5.071    
4614;* alf Tuc                          ;334.6253949308 -60.2595906408      ;  -70.72 -39.44     ;16.33     ;42.2        ;2.82     
4615;HD 214632                          ;340.2038212493100 -57.4223191162400;  55.756 -5.679     ;4.7073    ;-35.01      ;5.967    
4616;* eta Gru                          ;341.4078414315200 -53.5001198699500;  30.717 17.334     ;7.2136    ;27.8        ;4.846    
4617;* eps Gru                          ;342.1387419229700 -51.3168648120200;107.195 -62.575     ;25.7902   ;-0.40       ;3.466    
4618;HD 217403                          ;345.2815770051500 -50.9500284095700;   88.536 0.320     ;6.8342    ;7.8         ;5.672    
4619;* tau03 Gru                        ;344.1991679133699 -47.9692204033100;  -25.096 2.455     ;12.7125   ;6.30        ;5.714    
4620;* iot Gru                          ;347.5897398008 -45.2467124028      ;  132.50 -26.66     ;17.80     ;-4.4        ;3.877    
4621;HD 114971                          ;198.6802790700999 -48.9570304461100;-110.245 -85.610    ;13.1367   ;59.32       ;5.831    
4622;* f Cen                            ;196.5696004725 -48.4632905547      ;  -29.85 -15.17     ;8.36      ;6.00        ;4.691    
4623;HD 114772                          ;198.34730364 -50.69982629          ;  -32.34 -16.94     ;8.91      ;-1.00       ;5.90     
4624;V* V964 Cen                        ;200.1576056322700 -52.7478248248400;-30.282 -16.303     ;8.3902    ;10.00       ;5.443    
4625;HD 118978                          ;205.5045178764000 -58.7870877188100; -28.080 -7.273     ;4.0767    ;-8.00       ;5.372    
4626;* bet Cen                          ;210.95585562 -60.37303516          ;  -33.27 -23.16     ;8.32      ;5.90        ;0.58     
4627;HD 126241                          ;216.7795276098900 -65.8216469733000;-18.951 -14.376     ;2.9092    ;-18.66      ;5.828    
4628;HD 129954                          ;222.1856248233100 -66.5935617895000; -7.688 -10.720     ;2.4125    ;19.00       ;5.880    
4629;* gam TrA                          ;229.7274249308 -68.6795459339      ;  -66.58 -32.31     ;17.74     ;-3.60       ;2.89     
4630;V* X TrA                           ;228.5798979219100 -70.0794759161400;   3.932 -8.402     ;2.8588    ;-3.20       ;5.81     
4631;HD 143346                          ;241.4825803690200 -72.4009007853000; -32.468 70.299     ;11.3858   ;49.54       ;5.685    
4632;HD 169570                          ;278.2305900647100 -73.9655983351800;  9.195 -87.798     ;9.6146    ;-23.04      ;5.888    
4633;HD 164712                          ;272.8158638523099 -75.8915232284500;16.160 -296.819     ;14.2681   ;13.48       ;5.86     
4634;* phi Oct                          ;275.9018697374500 -75.0442770690800;   4.621 19.730     ;16.8258   ;5.00        ;5.456    
4635;HD 186219                          ;297.3554287946900 -72.5033781237700;   7.347 15.373     ;23.5699   ;-1.40       ;5.392    
4636;* eps Pav                          ;300.1481482450 -72.9105054942      ;  81.78 -132.16     ;31.04     ;-6.70       ;3.940    
4637;* sig Pav                          ;312.3257146436000 -68.7765211281400;-64.120 -49.688     ;10.1251   ;18.31       ;5.407    
4638;* gam Pav                          ;321.6108540943637 -65.3661980715336; 80.815 800.573     ;108.0102  ;-30.70      ;4.22     
4639;HD 207229                          ;327.5005163887800 -64.7125377229100; -0.736 -37.544     ;9.5919    ;-0.17       ;5.620    
4640;HD 207964                          ;328.79747572 -61.88660963          ;   44.50 -91.07     ;21.52     ;-3.37       ;5.96     
4641;* kap02 Ind                        ;331.4625667095900 -59.6360721409800; 56.620 -53.512     ;7.0924    ;-18.89      ;5.607    
4642;HD 212330                          ;336.2348694556333 -57.7974558879442;129.658 -352.425    ;49.1648   ;14.39       ;5.31     
4643;HD 215405                          ;341.4199357407400 -46.5473241890300;-30.937 -13.881     ;4.0934    ;43.42       ;5.51     
4644;HD 115331                          ;199.3080464675000 -43.9794985089900;  -6.993 -1.369     ;17.2139   ;-12.00      ;5.803    
4645;HD 115912                          ;200.2404185276000 -46.8800077358700; -73.364 20.623     ;8.9821    ;-2.46       ;5.742    
4646;NGC 5139                           ;201.69700 -47.47947                ;    -3.24 -6.73     ;0.1368    ;234.28      ;5.33     
4647;* K Cen                            ;202.3552261159900 -51.1651315262100;  -1.823 -7.517     ;7.1201    ;-2.00       ;5.030    
4648;* eps Cen                          ;204.97190723 -53.46639115          ;  -15.30 -11.72     ;7.63      ;3.0         ;2.30     
4649;* N Cen                            ;208.0202595995900 -52.8115295391800;-38.997 -26.863     ;10.7449   ;27.00       ;5.257    
4650;HD 120908                          ;208.4295561407600 -53.3733212081000;-14.936 -18.372     ;3.5055    ;6.30        ;5.873    
4651;HD 122438                          ;210.8604430523900 -56.2134344264500;-65.409 -21.900     ;6.2277    ;17.11       ;5.923    
4652;HD 125158                          ;214.9645946544900 -61.2729738031200;-165.840 -89.507    ;21.1588   ;21.2        ;5.23     
4653;* 26 Cir                           ;223.1469114979200 -63.8098213141100;  -7.194 -9.419     ;1.9624    ;-18.03      ;5.96     
4654;HD 129422                          ;221.3222356605500 -62.8756493899100; 70.270 -81.116     ;20.433    ;-1.00       ;5.360    
4655;* alf Cir                          ;220.6267482517 -64.9751370697      ;-192.53 -233.51     ;60.35     ;7.099       ;3.19     
4656;* eta Cir                          ;226.2007815240800 -64.0313511513800;  103.058 8.499     ;11.7561   ;45.10       ;5.168    
4657;* eps TrA                          ;234.1800926358 -66.3170370553      ;   24.35 -54.47     ;16.17     ;-15.5       ;4.104    
4658;HD 133683                          ;227.3746434472299 -67.0841347849400;  -3.571 -3.474     ;0.9223    ;-14.72      ;5.757    
4659;HD 136672                          ;231.5613492395800 -68.3091666104900;  123.659 9.275     ;9.9685    ;25.14       ;5.892    
4660;* kap TrA                          ;238.8733320450700 -68.6030009462900;  -8.966 -6.343     ;2.9495    ;4.77        ;5.097    
4661;* zet TrA                          ;247.1172594387700 -70.0843958083100;200.742 109.341     ;82.8699   ;8.30        ;4.899    
4662;HD 148488                          ;248.5806090777400 -70.9881022213700;-15.427 -11.056     ;3.2585    ;-9.37       ;5.489    
4663;* iot Aps                          ;260.5244818524899 -70.1232062672200; -1.881 -11.363     ;3.1948    ;-4.30       ;5.39     
4664;* zet Pav                          ;280.7588970037 -71.4281129069      ;   0.81 -158.15     ;14.93     ;-16.30      ;4.003    
4665;HD 188097                          ;299.6720445492800 -69.1639556504700;68.698 -100.182     ;14.4336   ;-12.40      ;5.724    
4666;* bet Pav                          ;311.2395582896 -66.2032140989      ;    -42.67 9.94     ;24.14     ;3.70        ;3.408    
4667;* ups Pav                          ;310.4878188867699 -66.7606807164700;  9.098 -23.224     ;4.1019    ;7.00        ;5.134    
4668;HD 200751                          ;317.1362306761900 -63.9282595651700;   -5.794 3.247     ;5.9764    ;-20.35      ;5.750    
4669;* eps Ind                          ;330.8402234423433 -56.7859785543650;3966.661 -2536.192  ;274.8431  ;-40.035     ;4.69     
4670;* del Ind                          ;329.4794730621 -54.9925761181      ;    41.94 -3.93     ;17.34     ;9.40        ;4.40     
4671;HD 211415                          ;334.5650558139046 -53.6270741129100;441.230 -629.750    ;71.0938   ;-12.728     ;5.39     
4672;* bet Gru                          ;340.66687613 -46.88457644          ;   135.16 -4.38     ;18.43     ;-0.30       ;2.11     
4673;HD 118354                          ;204.3478170187900 -46.4278978549000;-27.437 -16.521     ;6.9954    ;7.20        ;5.889    
4674;HD 119938                          ;206.8651567645000 -50.2492873621200;  59.415 13.363     ;15.5544   ;16.10       ;5.910    
4675;HD 119971                          ;206.9105790391400 -50.3206884177800;-141.153 -0.621     ;5.3133    ;31.92       ;5.446    
4676;HD 121190                          ;208.8005927767400 -52.1608214799100;-29.124 -21.546     ;8.3224    ;17.00       ;5.71     
4677;HD 121853                          ;209.8228500329800 -50.3696478197100; 29.861 -17.268     ;8.3199    ;-4.22       ;5.927    
4678;* M Cen                            ;206.6640740262 -51.4327648006      ;   10.00 -27.62     ;12.42     ;-5.8        ;4.632    
